A,B,C,D,E,F,G
68922,10812,14897,5887,161077,9961,48318
75505,11858,15436,5746,166480,10157,49807
79491,12903,15725,5746,172957,9844,50918
84061,13445,15229,6264,179127,10022,50714
84208,14245,16623,6551,185554,11687,52400
85751,15097,14474,6389,191607,12474,53726
91718,16367,15896,5918,197749,12914,56743
102540,17840,17855,6346,207153,12879,58583
111766,17828,21840,7110,218365,13051,59861
115961,18892,18603,7821,231730,11360,61980
123437,20208,21855,7829,241123,15758,64939
125303,19914,17315,9725,254765,15666,69190
112434,19863,19206,9820,258953,15461,71157
111746,20783,18046,10590,265760,16648,72488
113307,20177,19225,10441,270699,17542,78245
116823,21269,20833,11144,286319,19583,80052
121785,22194,21964,13002,299288,23739,83327
139766,23974,25370,13830,307015,24420,84902
139743,26302,19208,15523,317131,25116,83010
149921,26881,20406,15619,331769,26520,88453
153129,29653,19386,15937,334007,27303,93454
158479,31330,17580,16024,344123,27924,97010
162025,32827,19474,15345,349492,28698,98484
143707,26469,19172,12342,354835,22684,104768
159013,29559,20413,14464,366820,28644,105534
182032,32324,19220,16390,393544,29747,110861
