A,B,C,D,E,F,G,,,
"68,922","10,812","14,897","5,887","48,318","9,961","48,318",,,
"75,505","11,858","15,436","5,746","49,807","10,157","49,807",,,
"79,491","12,903","15,725","5,746","50,918","9,844","50,918",,,
"84,061","13,445","15,229","6,264","50,714","10,022","50,714",,, 
"84,208","14,245","16,623","6,551","52,400","11,687","52,400",,,
"85,751","15,097","14,474","6,389","53,726","12,474","53,726",,,
"91,718","16,367","15,896","5,918","56,743","12,914","56,743",,,
"102,540","17,840","17,855","6,346","58,583","12,879","58,583",,,
"111,766","17,828","21,840","7,110","59,861","13,051","59,861",,,
"115,961","18,892","18,603","7,821","61,980","11,360","61,980",,,
"123,437","20,208","21,855","7,829","64,939","15,758","64,939",,,
"125,303","19,914","17,315","9,725","69,190","15,666","69,190",,,
"112,434","19,863","19,206","9,820","71,157","15,461","71,157",,,
"111,746","20,783","18,046","10,590","72,488","16,648","72,488",,,
"113,307","20,177","19,225","10,441","78,245","17,542","78,245",,,
"116,823","21,269","20,833","11,144","80,052","19,583","80,052",,,
"121,785","22,194","21,964","13,002","83,327","23,739","83,327",,,
"139,766","23,974","25,370","13,830","84,902","24,420","84,902",,,
"139,743","26,302","19,208","15,523","83,010","25,116","83,010",,,
"149,921","26,881","20,406","15,619","88,453","26,520","88,453",,,
"153,129","29,653","19,386","15,937","93,454","27,303","93,454",,,
"158,479","31,330","17,580","16,024","97,010","27,924","97,010",,,
"162,025","32,827","19,474","15,345","98,484","28,698","98,484",,,
"143,707","26,469","19,172","12,342","104,768","22,684","104,768",,,
"159,013","29,559","20,413","14,464","105,534","28,644","105,534",,,
"182,032","32,324","19,220","16,390","110,861","29,747","110,861",,,
